nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210061650981;2023;22 anos;Masculino;Solteiro(a);Preta;Brasileiro(a);Já concluí o Ensino Médio;2022;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;423,1;492,2;460,2;370,6;DABEDECCCEBCBEDAECBEAACABBDCADCCEEDABACAAEEAE;DDADDDEDCDEEBDEBEEDEDEEBEEADCCCBEAAAEABDBAACA;BBAEECAAADCBABBBBCBBBBAAAAAAAAAACCCCCCCCCCCCC;ECCEEBDADCEEDDCEDDCBBADDCDCEEDCCBEDDCCAECCBAB;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;80;120;100;100;60;460;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Não Sei;Grupo 2 (Verificar a definição no dicionário de dados);7;Até R$ 1.320,00;Sim, um ou dois dias por semana;Sim, um;Sim, três;Não;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Sim, um;Sim
210061078608;2023;23 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2018;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;505,7;582,0;551,2;450,0;EDDADECBECBACCCDCBBDABDDCADDABCDDBDEDA.DEACAB;CDEEECABADCEAADEABDAABCCCEDEBCDDBDCECCEECBEDD;BCCABDACAEDCEEBADCDDDCBDBDABCABCBADACDDECEEAB;BDDACBBADDAEABBCADCCBCCAADBDCCECCBDDCCAABEBEC;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;140;120;120;180;680;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;Até R$ 1.320,00;Não;Sim, um;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Sim;Sim, um;Sim;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210059928027;2023;19 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2022;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;508,9;474,8;432,2;443,8;BAAAEDCEBCBBBACDDBEDBCCCCBBACCABDBEBDDECACBEB;CDBDCBDBBAEDBACEABEBABACDCBDABBACBAADCEEECCDB;BEECBDECAABCBCDCAADCBCDDDBEEBCDBEADECADBCDBAB;CBDCADBABACDDECBBCDACBCEBCBECCCDCABCDDBDBDBDA;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;100;160;100;120;0;480;Nunca estudou;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);5;De R$ 1.320,01 até R$ 1.980,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Não;Não;Não;Sim
210059531944;2023;18 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;414,8;472,2;487,8;410,2;DACBBCBCAEBDEEBEDECDDECAEDBECCEDDBDBCEECCECDB;DADEECABCECDBABBDBEBBBEAACDEABCEDCEDCEADBACCD;BEABBCDEAEDADCEDBBBAEBCCBBACBCBEDBCDDADDDBBAC;DDDBDDCBEAADADEBBCCBBADADBCDCDCCCDBECCBDBBBCD;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;140;120;140;160;160;720;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);2;Até R$ 1.320,00;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Não;Não;Não;Sim, dois;Não;Não;Sim
210058701633;2023;23 anos;Feminino;Divorciado(a)/Desquitado(a)/Separado(a);Preta;Brasileiro(a);Já concluí o Ensino Médio;2022;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;445,7;411,7;335,9;383,4;DDAACAEBBCDABDBDAEBDBEACDDEACDBACEDCABEDAECBA;ADEEDADBAECABBEACEAEACACDAADBDCDABAEBAECCDDAB;EBABEEDACDEACBDABCECCAEDABECDCEBCADEABEBDACEB;EBCCABDDECAABDCAACABDBBAEDBABDCDBDEBBDCBECEBA;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;80;40;40;80;0;240;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;Até R$ 1.320,00;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim
210061985108;2023;Entre 36 e 40 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;Anterior a 2007;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;609,2;631,6;629,5;564,7;CECACDBECCBDACDCDCCDEDADCCDACAADDBEBBEBACACDD;CDAEECEAAABEAADEABDAABCDDABADCDAADAABEEDEBDDA;BBDBBDEDAEDCCDBADEDEDCCEBBACDACABCAADACCBEEAB;DACDCCCCCDDBEBCDAEBECECCCDECDCCADCDDEEDCAECED;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;120;80;80;0;400;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Faculdade, mas não completou a Pós-graduação;Não Sei;Grupo 4 (Verificar a definição no dicionário de dados);1;Nenhuma Renda;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Não;Sim, um;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim
210059563204;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;3106200;Belo Horizonte;31;MG;Privada;Urbana;Em atividade;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;465,3;680,5;593,7;737,6;DACABEAADCDBBEBCBBEDBCCBACECBBACEBDCBDDEBEDCD;ABCDCBDACDAEAAEECDBEDBBABCDEBCDBCDCABEDCDAADE;BDBBAAAECBEEBCDAABCEAABBACCDEEEDDDCDBEDDDACBD;EBEEEBDDCDDCCCDEEABCADCBCDAECEBBADEDECABCEBBC;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;160;200;160;180;180;880;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);3;Acima de R$ 26.400,00.;Sim, um ou dois dias por semana;Sim, três;Sim, três;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, três;Sim;Sim;Sim, quatro ou mais;Sim;Sim, três;Sim
210061987817;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;3106200;Belo Horizonte;31;MG;Privada;Urbana;Em atividade;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;587,8;572,8;542,3;679,5;CDDACACEECAABEACEBABDCAEDCABBBDACBCCADCDBEECB;ACDACECACDADAAAECDBADACBEABEBCDBCEBDBACCDAADE;EABBADAEBBBEBADAAAACCCBDACEBEDCAADEDBEDBEACAD;EDDDEBDADDBACCBCDCBADDBCEDAECCBEEACCACBBCECDB;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;160;200;180;200;200;940;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);5;De R$ 5.280,01 até R$ 6.600,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Sim, um;Não;Sim, dois;Sim;Não;Sim, quatro ou mais;Não;Sim, dois;Sim
210061751597;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;3106200;Belo Horizonte;31;MG;Privada;Urbana;Em atividade;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;585,8;542,3;504,8;546,1;ADCABEBDCDBEEBAEDBEAAACDDAEDCECCCEDBECAAAECDE;DABDDEEDCBCADBACDBBCCEEAACADBDCCECDEDCADAABCD;ACBEACEEAEDBDBADABBDDEBCABAEACBEAECBBEBDEDDEB;BDEACDDEABBDDECAEBABDEECACDCCADCBDBBEAEDACDBA;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;100;120;120;100;100;540;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 9.240,01 até R$ 10.560,00.;Não;Sim, quatro ou mais;Sim, três;Sim, dois;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, dois;Não;Não;Sim, quatro ou mais;Sim;Sim, quatro ou mais;Sim
210058703568;2023;19 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2022;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;705,3;720,1;708,9;892,5;CEDADCAACBDBABDCCCDEEEABCDDAEECDDBEEBDBABBAEB;CDAECCABAACEAADECBDAABCDCABADCDEADAABCEDEBADB;BBDABDACEEDCCDBADCDDDCBEBBACCACAACAACACBBEAAE;CCECACCBDECBEEABEEBBDAADCABBBCCBCCDDAEBDADEEB;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;160;200;140;180;180;860;Completou a Pós-graduação;Completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);4;Acima de R$ 26.400,00.;Sim, pelo menos cinco dias por semana;Sim, quatro ou mais;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim, um;Sim;Sim, dois;Não;Sim;Sim, quatro ou mais;Não;Sim, três;Sim
210061712205;2023;Menor de 17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;514,8;608,1;628,8;730,6;AECEBADDACCBECAACDEDCDAACCDEEEDEEBECECBAEECEB;CDCEACABADCAAADECBDAABBCCABADCDEABAABCEEEABDA;BBDABDECEEDCCEBADADEDCBEBBACCAEBABAEDACBBEDAE;DBAEACCEDCEBEECBEABDDCDDAABDCCCECBADEEBDADCEB;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;120;120;120;140;620;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);2;Acima de R$ 26.400,00.;Sim, pelo menos cinco dias por semana;Sim, quatro ou mais;Sim, quatro ou mais;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Sim, dois;Sim
210061786477;2023;17 anos;Feminino;Solteiro(a);Preta;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;500,2;525,4;566,1;446,0;CBDAACEDBDAAAEDDBADBBCCCEDECCBCCBBAEECAEBDABA;ABCDAADACECEADAECEDBDBAEEAABABADCDEDDEBADABDE;BCBBAAAECBDECACABBABACBCECCBEDDDCDCDDADDDECBB;EADEADAADCDECDBEDBECCBAABDBBEEAEBACAABEAAABEB;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;180;160;200;140;800;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 2.640,01 até R$ 3.300,00.;Não;Sim, três;Sim, três;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, três;Não;Sim, um;Sim
210061699338;2023;Entre 56 e 60 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;Anterior a 2007;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;584,6;683,2;569,4;635,9;CCDDCEBBEBEDBEBECABEBCCEEEADBBADCBEAADDDBEABD;ABCDCBDACDAEACEECADADBEACADEBCABADCEBCDCDAADE;BDBBDEAECBBEACDAAABBACBCBBCBDDEDBBBABAEBCECBC;ECDEEDDBEEBCCCBCCABCBDDBCDBEACAECDECDEBCBAEDC;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;120;100;120;120;580;Não sei;Completou a Faculdade, mas não completou a Pós-graduação;Não Sei;Não Sei;2;De R$ 6.600,01 até R$ 7.920,00.;Não;Sim, dois;Sim, dois;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Sim, dois;Sim
210059827003;2023;Entre 41 e 45 anos;Masculino;Solteiro(a);Preta;Brasileiro(a);Já concluí o Ensino Médio;Anterior a 2007;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;548,7;609,3;548,7;614,0;EEBDCEBEEEBEAEBECDAADBCBDAEDBECBBBEACBCCCCBAE;DAAEDEABCBCABBBCDBBBAEAABBEABADBECDAECBDAABCD;CEBECEAEEEDEACBCBEAAAAAEAAAEBBBBDBBCBDEDCADAC;EACAEDEEECCADEBEEBDEBBEACCAECCDCBDEDADECBBBDC;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;120;120;120;120;120;600;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 1.320,01 até R$ 1.980,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, um;Sim;Não;Não
210058137111;2023;Entre 26 e 30 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2015;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;433,5;606,1;545,6;597,9;CABEECABBCCABEADBBEDDCEBCBBCCDEBEBDCBCEBACBCD;DABECCADAAAEAADECBDAABCACAAEEADEADCDBCDDEBEDB;BCAABDECAEDCDDBCAADECDCEBEABABBABAAACAABBECAB;CBDCABCCCBAABBBAEDBECCDDCEBBECEDADDDCEECAEBEB;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;60;120;80;100;40;400;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 3.300,01 até R$ 3.960,00.;Não;Sim, um;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Sim;Sim, dois;Não;Não;Sim, três;Sim;Sim, dois;Sim
210060726506;2023;Entre 41 e 45 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;Não informado;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;618,4;557,3;516,1;522,5;CBBAEDBCCDBEABAEEDECADCBDAECDBCCDEDCABAECEEAE;DAACDEEDCDCAAABDEDEBEEEABACDBDCAABDBECADBABDD;ADADAAADADDBAADBADDAEACCAAADCBBBDBBDBDCDEADAA;EAEAADDDCBABCDEDDBBECDECCEACDEDBBDCDDDEBBBCDD;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;80;120;120;80;120;520;Não completou a 4ª série/5º ano do ensino fundamental;Nunca estudou;Grupo 1 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, três;Não;Sim, um;Sim
210061574713;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;454,3;534,8;496,7;449,9;CDBCADDEDCDAADBCCBEEBCACAEBBCADEBDCECBAEBDBBA;ABCDCBDDCDAAECDDCDCADACEABDBABADAACCBADCBADDA;DBABCAAEEBBEAACBDBBDBCDBECCAEDDBBBCBBECDCEABD;EBDBECEBDADAADBCADCAABCACDDBDBCBEABDEABCEDBEA;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;80;80;100;0;380;Não completou a 4ª série/5º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Não;Não;Não;Não;Sim, um;Sim
210060217678;2023;Entre 36 e 40 anos;Masculino;Casado(a)/Mora com um(a) companheiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;Anterior a 2007;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;3106200;Belo Horizonte;31;MG;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;578,9;657,5;576,7;703,8;CDBBBECEADBEEABEABEEADCDDBBBCEDAEEDCBABBBADEE;DAAAAEADCDCABBBEADEBCEABAECDBBACDCDAECBAAABCD;AEADACAEBEDEAAEBACCADACCBAAEBEBEDBCCADBDEDDEA;EEEACDEEBBBEDEDBECCBEBBCBCEACCBCEDABCEADBABDC;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;100;140;120;100;60;520;Não completou a 4ª série/5º ano do ensino fundamental;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 6.600,01 até R$ 7.920,00.;Não;Sim, um;Sim, três;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, um;Não;Sim, um;Sim
