nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210060104848;2023;21 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2020;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;534,9;467,1;515,8;436,8;ECDCCEBEEDAABCCEEBCDBCBEBDCBBBDDBBEBDCDEBECED;DBCADBBBDDBECEEDBAEADCBBEACABDACEDEDDEDDDCAEE;BADDEAAEABBEAACACEECBCCDADDAE.AACBBDEEACDECCA;EAEBEABBDDDADCCBADAADCBCEAADDDECDCBBCBAEADDBE;Espanhol;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;140;120;120;120;120;620;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);3;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, um;Sim, dois;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim
210061634540;2023;19 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;2607901;Jaboatão dos Guararapes;26;PE;Estadual;Urbana;Em atividade;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;518,1;375,0;527,9;440,7;DACCCDBBDDCECEABABEEBCDACDDAEBAAEBECEBAACDDBE;BDDAEAECABAECDBEDEDACEBAACEBDEADBEACDCACBEDCD;BCDABDAEADDBCDBABDBEDAAEEBECEECCEBCCDACBBECAB;BBCDBBEAEACCEDBEEEABDDACBABCEBDCACACEDACADEDD;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;140;180;120;120;120;680;Completou o Ensino Médio, mas não completou a Faculdade;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);7;De R$ 1.320,01 até R$ 1.980,00.;Não;Sim, um;Sim, três;Não;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, um;Sim;Não;Sim, quatro ou mais;Não;Não;Sim
210061949129;2023;Entre 51 e 55 anos;Feminino;Divorciado(a)/Desquitado(a)/Separado(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;Anterior a 2007;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;530,4;571,1;533,5;408,3;EADECDCAAEBADABABCBACCACCBDBEACBDBEECAEDABAAC;CDADDEACACADAADECADAABBDCCBADBDAAEBBECDEEBCDB;ACEECCACBEECEDBBDDDEDCBCBDDDEAACBEADEABCBBEAB;CDAAEBBEBACADBAAEDACDDBDDEADCBCBADDDDDEAADBCD;Espanhol;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;120;120;120;160;640;Não completou a 4ª série/5º ano do ensino fundamental;Nunca estudou;Grupo 1 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;Até R$ 1.320,00;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim
210058354696;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2022;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;514,5;536,8;511,1;553,3;BDBCBCADEDBDBEBEDACBADCBDABCCADBEADCBACDACCBC;DBCABDBBCDEADCECAACBDCEBECCDBAACDCDAECADDABCC;CEDCCDBEEEBCABBBDCEADAECBCAECBBEBBCDBACBBDDAB;ECBABEDECCAEBCBCABCDBEBCDCBCCDDCADBDCBDBBCDAC;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;160;200;200;200;200;960;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Pós-graduação;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 7.920,01 até R$ 9240,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, dois;Não;Sim;Sim, quatro ou mais;Não;Sim, dois;Sim
210061652239;2023;19 anos;Masculino;Solteiro(a);Preta;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;520,2;540,2;489,6;516,2;ABBBCADCCEBEBDBCDEACACCADABDECCCDACDBBDBDDBBE;DBAEBDADCDCDBDCABDBDDBCBDACDDACCECECECBDBAECD;BBECCDBDAEBBCBEBACCADACCAAABCBBCABCBBBCADDDBD;EDCDDDDEBEDEBCDCEDCCBCAABDDCBBCDBDDBCDEECDBCB;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;100;120;100;100;100;520;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);4;Até R$ 1.320,00;Não;Sim, dois;Sim, três;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, três;Não;Sim, um;Sim
210058644068;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2022;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;517,0;605,6;578,5;721,2;ACDCDEAECEBECDEECECECECAAAAABCBCBEBDCEBDBDCDE;DBAABEAABDEABABEEDEBAEABACBEBAACDCDAECCDACBCC;CBAEACCEEEDEACBBAECECEAABAAEDEDDDDDCADBDCDCAC;CCDAAABEBEBEDEDCECCEEABCDDDACDACDDEBCDBABDCDA;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;140;160;140;200;160;800;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 3.300,01 até R$ 3.960,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210058410935;2023;20 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2020;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;558,0;622,5;566,9;494,7;CBBACEDEDBBBDCACDEBBAECDEAABCECEDBEABBCDBDACB;ABCDCBDACDBAACDECADEDBEBBBCEBAABDDCABEDCDAADE;BAABECADCCBEAADAABCAACCAACDBEDCDDEECBAEDCECAC;EDDCCDCAEBDACCBCBADEDCBBAECBCABCDEACDBAEDCEBA;Espanhol;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;160;200;200;200;200;960;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 1.320,01 até R$ 1.980,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim
210059853600;2023;25 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2016;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;430,4;558,5;561,9;375,8;EDDDECCEAECBEECBCCEEACABCDACEEEEEBBCDDCBACDBD;CEAAAADECCCDAAEECBDDABCDDCBADCDAEABDBCBAEACDD;ABEDACACABDCCDDBDADCDCAEBCACCEDBABAABAABBEAAB;CCABECBCBBDEBDCDDDACBEEBBDCCCEBCAECCCCEEBDDEB;Espanhol;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;140;140;160;160;720;Completou o Ensino Médio, mas não completou a Faculdade;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 1.320,01 até R$ 1.980,00.;Não;Sim, um;Sim, três;Não;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, quatro ou mais;Não;Sim, um;Sim
210060472978;2023;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;442,2;514,8;494,8;378,7;EEECDCBDAABEDEDDEEACADCBACACEEBDEADCBBBEDDBBC;DAABDEEBCDCEBABCBBEDADEDDCCEDEDBECDBBEDADCCCE;BBACBCAEACDCACBBCCDBADCEBEAEBCBEBBDADDDAEADAD;ECADDCDCCBBDCCDDADBDCBCDEEBDADCEDEBBCCDCDEABC;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;100;120;120;120;60;520;Completou o Ensino Médio, mas não completou a Faculdade;Não sei;Grupo 2 (Verificar a definição no dicionário de dados);Não Sei;2;Até R$ 1.320,00;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Sim, um;Sim;Não;Sim, dois;Não;Não;Sim
210059942852;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;2611606;Recife;26;PE;Estadual;Urbana;Em atividade;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;522,2;558,7;544,3;526,6;EEDBCABBADBBEBCDDEBBCBCACDDDEECDEBDBEBEACBBEB;DBCDACDBAAADCBBECBDAABCDCEDADCACABBABCEDECBDA;BEDBBDECAEDCCDBBBBAEDABEDAABBABCBBAACABCBEDAD;BADCABCCCDABDBEDEBEEACDACEAACDCECDAACEBBADBEB;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;160;160;120;160;720;Completou o Ensino Médio, mas não completou a Faculdade;Completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 3.300,01 até R$ 3.960,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, três;Não;Sim, um;Sim
210058857533;2023;25 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2015;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;544,5;666,7;581,8;618,4;CBEBCCCDEEBDADDCCDDCEACBDABCEBABEEDDAAECDEEBE;DBAADECDCDCABEBCDEEBCEABAECABBACEDEAECBDAABCD;ADBECCBEEEDDACBBACAABAECADAEECBEDBBCBDBDDDCAC;BBCADDEEBEDCCCDEEBCBDCCACDCADCECEDBACBDDBBBDB;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;140;160;160;160;140;760;Não completou a 4ª série/5º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 1.320,01 até R$ 1.980,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Sim, um;Sim
210061655299;2023;21 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;434,6;505,8;499,4;657,3;ECDBEAACDBBECBADBEADBBBDDDACCCA.EEBDBBBBDDCCE;DAAADEADCDEDEDECCBCDEDCBACDBEACCEBDCBEADACADB;DEBBAACEEEDCBCBDECCBAAACDBABEBBEDBAABBADAACBE;EBDACBBEDCEABDDAECCABCBEDDACCDECEDEBDDDCBACCC;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;100;120;80;120;80;500;Não sei;Não sei;Não Sei;Não Sei;3;Até R$ 1.320,00;Não;Sim, um;Sim, três;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim
210058853469;2023;17 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;2607901;Jaboatão dos Guararapes;26;PE;Estadual;Urbana;Em atividade;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;452,2;537,5;494,7;586,0;CDBAAABACECBAACCDCABADEDECABCBDACDADDACABCBED;ABCDBBDCCEBDCAEAEEBADBBCDBBDAACBCADEBADCBAAEE;BEBBACAECCCDAACAEBBADADBBBDBEDBDABCCBADDCDBDA;EEDBEDCDCDDCCCDCBDBDCABABDEBABBDABEDBACDDDEDB;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;80;60;60;80;20;300;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);5;De R$ 1.320,01 até R$ 1.980,00.;Não;Sim, dois;Sim, dois;Sim, um;Não;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Não;Sim, um;Não;Sim;Sim, três;Não;Sim, um;Sim
210060565651;2023;18 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;431,5;493,1;527,3;380,3;CEBCAADCCCEBABADBCACBDDEDCBDBBDCADBBACECBDCCB;ABCDCADDCECAAABDABEBEABEAAACBECDAEAABCDCCACBE;AEABAAAECBEEACDABBADACEAACCADACBAEAABAEDBABEE;CBDCEBEDAEDBEDCEBAACEEBDCCECABCCBADACABBBDEEB;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;120;120;100;120;120;580;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Não Sei;Grupo 2 (Verificar a definição no dicionário de dados);3;Nenhuma Renda;Não;Sim, três;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Não;Não;Sim;Sim, um;Não;Não;Sim, dois;Não;Não;Sim
210059235930;2023;24 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2016;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;443,5;507,8;482,8;381,3;BEAABAADDEBDADBBDEBEADCBDCBCBAACDEDBBDDEDECEC;DAACEEBDCBDEBABCCECBBBCCBCCDABCADDDEEBEABABCD;AEAEACCDEBDCACEBABCCBECDACABAEBEBBBDBEDCCACEE;CDDEDBDBCABDBCDDBEABEDCEAACDCDBBDEACDBCACBCBD;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;100;80;60;100;40;380;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;Nenhuma Renda;Não;Sim, um;Não;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim
210060795762;2023;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;2607901;Jaboatão dos Guararapes;26;PE;Privada;Urbana;Em atividade;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;411,6;440,2;489,6;500,7;ADDCAECCBEBABECCDDCBABEAAABCBCCDEACECBDACEEEE;EAAADCBDBDBEEDCABCADDACCCBACEAAEBCBCABCCDAACD;BCACACDEAEDBEDDDBDBABACEACAEACBEBBEDCBAACCCCB;EACDCDDECCDDCBABCBAAEACEBBCCCECECDBDCCBDBCCDB;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;100;40;40;140;40;360;Não completou a 4ª série/5º ano do ensino fundamental;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 2 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);6;De R$ 2.640,01 até R$ 3.300,00.;Não;Sim, um;Sim, três;Não;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Sim, um;Não;Não;Sim, três;Não;Sim, um;Sim
210061808736;2023;17 anos;Masculino;Solteiro(a);Preta;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;2611606;Recife;26;PE;Estadual;Urbana;Em atividade;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;557,8;577,4;521,1;715,4;CBCBADEBAEBEAECDBCEBECCADEBBECCCEECCDCDCDBEAB;DBCADEAECDECBBBCDDBBCEBDCCDABAAEECDAEDADEABCD;BCBDADCEAEDBCDCEBECCAA.CAAABDBBEDEBCBADECDDDA;EADABDBEBDAAEDDDECBEEACCEDACCCBCDDBBDDEABCCDA;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;160;200;120;160;160;800;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 2.640,01 até R$ 3.300,00.;Não;Sim, dois;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim, três;Não;Sim, dois;Sim
210061486225;2023;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;2607901;Jaboatão dos Guararapes;26;PE;Privada;Urbana;Em atividade;2607901;Jaboatão dos Guararapes;26;PE;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;515,5;559,5;585,6;532,8;CDDACADEEDDBCACCCEBCBABECABCBACCDAACACAEBD.DD;ABCDCBDACECEACEEABBEDBCAAACDDEABADCDBCCCBDECA;BAACCAABCBBEAADABCEDAEBBACCBEDCDADBDBCDAAACBC;DCDBEAAABDD.CDCDCDBDCCDACADDAEBDCDDCDDADDDCAC;Espanhol;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;140;200;180;180;160;860;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);6;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, quatro ou mais;Sim, quatro ou mais;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Sim;Sim, quatro ou mais;Sim;Sim, um;Sim
