nu_inscricao;nu_ano;tp_faixa_etaria;tp_sexo;tp_estado_civil;tp_cor_raca;tp_nacionalidade;tp_st_conclusao;tp_ano_concluiu;tp_escola;tp_ensino;in_treineiro;co_municipio_esc;no_municipio_esc;co_uf_esc;sg_uf_esc;tp_dependencia_adm_esc;tp_localizacao_esc;tp_sit_func_esc;co_municipio_prova;no_municipio_prova;co_uf_prova;sg_uf_prova;tp_presenca_cn;tp_presenca_ch;tp_presenca_lc;tp_presenca_mt;co_prova_cn;co_prova_ch;co_prova_lc;co_prova_mt;nu_nota_cn;nu_nota_ch;nu_nota_lc;nu_nota_mt;tx_respostas_cn;tx_respostas_ch;tx_respostas_lc;tx_respostas_mt;tp_lingua;tx_gabarito_cn;tx_gabarito_ch;tx_gabarito_lc;tx_gabarito_mt;tp_status_redacao;nu_nota_comp1;nu_nota_comp2;nu_nota_comp3;nu_nota_comp4;nu_nota_comp5;nu_nota_redacao;q001;q002;q003;q004;q005;q006;q007;q008;q009;q010;q011;q012;q013;q014;q015;q016;q017;q018;q019;q020;q021;q022;q023;q024;q025
210060301904;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;463,8;516,7;457,0;554,0;AEAACAAAECEBBBDDDDBBBDADADDCCBBDCDDDECCDBDBDC;ABCDCEDDCDCDACEADACCDEBDABEAABBABACDBEACEDADC;ECABEDAEBBBEDCEABBBBAECACCD.BAABECADBADEBCABD;ECDCEDCACEDDCCCDCACDCBBDCAECDBDBCECACCEDBEEAC;Espanhol;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;100;180;120;160;120;680;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 5.280,01 até R$ 6.600,00.;Não;Sim, um;Sim, dois;Sim, dois;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Sim, dois;Não;Não;Não;Não;Sim, um;Sim
210059825998;2023;Entre 31 e 35 anos;Masculino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2011;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;584,3;624,5;590,5;701,6;EEBCCBBDEDBEEEBEBDECEACBDEBBBBCCCEDBDBABBEBDA;DBAADEADCDCCBABCDCEBDEBCAECADEACECEADCBCAAECD;AECEACAEBEDBADCBACBBCAADAEAECBBEDBCCBDCDEADAC;EEDAADBEBEBABEDADCBCEBBCACCCCCDCEDBBBEACBDCDB;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;120;120;120;120;120;600;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);2;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, dois;Não;Sim, um;Sim
210058402972;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;2022;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;518,5;496,3;514,9;478,6;BCBBAEACADBDBBDBCDACABCEDCACDADDCEDECACDBCEEC;DBCAAECDCADDEDEAEAEBCCDEABEACECCDCECECACBABAE;BCBAACCEEDDDECCAACEBCAACBCACBBBEBEBEDDDDDECBE;CDDADCDECEDDDBBCAEDAAECBDCBCCDCDBDBABBDABDDCB;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;120;120;100;100;20;460;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);3;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, dois;Sim, quatro ou mais;Sim, um;Não;Sim, dois;Não;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Sim;Sim;Sim, três;Não;Sim, um;Sim
210061309629;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;472,2;549,5;512,8;629,2;CDDEBCBEADBBCDBADABBCCBADBEDAECEDBEBDEDCACDBE;BDBECDDBAAEAABDECEDBA.AD.ABADCDC..A.BCEAE..DB;ACDABDEDABD.CEBCDCD.A..EB.CC..CBCBAABECDBEEAE;CDEAACBCDEBBBDCACDBDDEADBAACECAECDADBAACDDBEB;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;160;200;120;200;160;840;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);3;De R$ 2.640,01 até R$ 3.300,00.;Não;Sim, dois;Sim, três;Sim, um;Não;Sim, dois;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, dois;Sim;Não;Sim, três;Não;Não;Sim
210061127688;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;501,8;512,7;508,9;384,8;DEBBDACCBDBEBEEACDEAADCBBCAABCCCDBBBCEDBDEEDB;ABADAECACDCEBDACCCABBBCEDDCDBDCCECDBDBEDDABAD;BEBCACBEAEDBABABACBBEAAEAACCCCECDBBDBCDDEBCAB;CDEBDDDEDCEEACCECEDBBAADBEDBADDEAEDCCDEACDDCC;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;140;120;120;120;60;560;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 3 (Verificar a definição no dicionário de dados);4;De R$ 3.300,01 até R$ 3.960,00.;Não;Sim, quatro ou mais;Sim, quatro ou mais;Sim, um;Não;Sim, dois;Sim, três;Sim, dois;Sim, um;Sim, um;Não;Sim;Sim, dois;Não;Não;Sim, três;Não;Sim, um;Sim
210061754209;2023;17 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;556,4;586,4;570,7;685,2;CBDCADEECACADDEECAAADBCDDCCBBBCCCBEBCEEDBEEDA;ABCDABEACDAEACEAAABADAEEDABCACABCEDCBEDCDABDE;BDBBACAEDBEEAACAABACAEBBACEBEDEAAECEDAEBDACCD;EDDEEBEADDBCCCBCEABBDDABBADEDDCBAAEDACADADACC;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;140;180;140;120;160;740;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 7.920,01 até R$ 9240,00.;Não;Sim, três;Sim, três;Sim, dois;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Sim;Sim, dois;Não;Sim;Sim, quatro ou mais;Não;Sim, dois;Sim
210060756441;2023;Entre 51 e 55 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Já concluí o Ensino Médio;Anterior a 2007;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;579,5;666,4;548,4;550,7;CDBAADBCCDBEEBADDDECAACBDBBCEACACEDCBEABBCDEE;DAAADEADADCABABCCCEBADABACAABAACECDAECBDAABCD;ACCDAAAEEEDBACDCACABCAACACABCBCBBBBCBDADEDBAA;BABAADBEDEAACECDABBEDEDCACBCECCDADBACCBCDBDDA;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;140;120;100;100;100;560;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);2;De R$ 6.600,01 até R$ 7.920,00.;Não;Sim, dois;Sim, dois;Não;Não;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Não;Não;Sim, dois;Não;Sim, um;Sim
210058951013;2023;17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;4300802;Antônio Prado;43;RS;Estadual;Urbana;Em atividade;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;473,0;645,1;604,9;768,5;CEAEEECAAEBDCDCAAEDBBAEBEAEEEEEDEBEEEACAEBDAC;CAEEBAABAACEAADECBDAABCCCEBBDCDEAAAABCDDEBADC;BCDABDACEEBCCDCADCDCDCDDBEACBADCBAACCACCBEAAE;DBECACBEDECCBEBBEEBDDCDDAABDBCEBCCADBEBDADEEB;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;180;200;200;200;200;980;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);4;De R$ 3.960,01 até R$ 5.280,00.;Não;Sim, dois;Sim, dois;Sim, três;Não;Sim, um;Sim, três;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, quatro ou mais;Sim;Sim;Sim, quatro ou mais;Sim;Sim, um;Sim
210061260408;2023;Entre 26 e 30 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Já concluí o Ensino Médio;2010;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;605,6;664,5;624,9;732,8;CEDABEDECCEDCADCCABECCCEACEDBCADEBBBACEDBEAED;ABCACBDACDAEACECCEBADCBABADEBAEBCDBABADCDAADE;BAAABDAECBBEAACAAAEDACBBACCBEDBDCDEEBEEDDACBD;EBDEEADABDBBCCCCDABDADDBCDAEBBCEDDACACADBECDB;Espanhol;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;140;160;140;160;160;760;Não sei;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);1;De R$ 1.320,01 até R$ 1.980,00.;Não;Sim, um;Sim, um;Não;Não;Sim, um;Não;Sim, um;Não;Não;Não;Não;Não;Não;Não;Sim, um;Não;Sim, um;Sim
210061165717;2023;Menor de 17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;483,3;500,2;532,3;504,4;CBBCCEDCBACBAEBCDCBEBCDDECDEBACDDBCCEBDDBEBEC;AEACBADDCDCEACBBCABEDAECABBCAEDDBEBDBEACDCEDE;ECBBADAEEBBDAADAECBCDEBBACDABDCDABECDEEDDEACC;ACDCBAAACDECCCADBDCDEACCBBEEABCACADCEDADCBBDC;Inglês;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;140;160;120;160;160;740;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);5;De R$ 3.300,01 até R$ 3.960,00.;Não;Sim, um;Sim, quatro ou mais;Sim, um;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Não;Sim;Sim, um;Não;Sim;Sim, quatro ou mais;Não;Sim, um;Sim
210058361158;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;4305108;Caxias do Sul;43;RS;Privada;Urbana;Em atividade;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;530,1;555,6;508,4;472,8;AEDBAEBDBDBECCDCDEDBABCBDAADCACECEDDBABCCEBEB;DAAAAEDBCDCADDAEBACEBECDEABCBEBCBCDAECBDDABCD;BCBADCBEEEDAEDEBDCAEBDBCEBAECBEABCACABDAADDAC;ECBADBAECCBBCDACBECADECBDACADBEEBDCAADCACABDE;Inglês;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;120;180;160;120;140;720;Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio;Completou a Pós-graduação;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);2;De R$ 3.960,01 até R$ 5.280,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, dois;Não;Não;Sim, dois;Não;Sim, um;Sim
210061067542;2023;18 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Privada;Ensino Regular;Não;4305108;Caxias do Sul;43;RS;Privada;Urbana;Em atividade;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;622,5;625,2;566,0;765,9;CBDECDCAABABAACCDCDBEEABCCDAECCDDBEBEDCCCEDBB;CDCDEDABAACEAADECBDAABCDCABEDCDECAAABCDAEAADA;ECEABDECDBBCDBBADCDCDCAABBACAADBABAACABBBEAAB;DCECAACEDEABBEEBEDBCDADDBABDBCCCCCCDBCBDADEEB;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;140;180;160;140;100;720;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);3;De R$ 15.840,01 até R$19.800,00.;Não;Sim, dois;Sim, dois;Sim, dois;Não;Sim, um;Não;Sim, um;Sim, um;Não;Não;Sim;Sim, dois;Não;Sim;Sim, quatro ou mais;Não;Sim, dois;Sim
210058272545;2023;17 anos;Feminino;Divorciado(a)/Desquitado(a)/Separado(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;460,5;512,9;508,3;436,5;BBBEACBCAEBACBCEEDABEDCBACEBACEACEDDABEACCEAC;DBABDEEDCBEEBCADEBCBAEACAACAABCCD.ECDDEDAABBD;ACAECCBEAADBEEDEACCBDABCACAEEBBCEBDDAADDBCBAE;CECABEDEEABCADCEEBEBBDADBCAABDEEADBCDCBAAEBDA;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;120;200;100;120;0;540;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 1.320,01 até R$ 1.980,00.;Não;Sim, um;Sim, dois;Não;Não;Sim, um;Não;Sim, um;Não;Sim, um;Não;Não;Sim, um;Não;Não;Sim, dois;Não;Não;Sim
210058277734;2023;Menor de 17 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio após 2023;Não informado;Não respondeu;NA;Sim;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Cinza;Rosa;Rosa;Rosa;462,7;536,6;605,2;511,8;CAEACEAEECDEADCDBADACCDBBCDDEADCCADBECCDDDECC;ACCECBDDCDCEBCDCCEBADEDCCAADCDCACDCCDADCB.ABE;BAACBAAECBBEACDABBAEACBBACCDEDBAADBDBAEDDBCAC;ECECCABDCDCCCBCDDDBABBECCBDCCEAACBDADCADBDACC;Espanhol;CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD;ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE;BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC;EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB;Sem problemas;140;180;120;160;120;720;Completou a Faculdade, mas não completou a Pós-graduação;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 4 (Verificar a definição no dicionário de dados);Grupo 4 (Verificar a definição no dicionário de dados);4;De R$ 7.920,01 até R$ 9240,00.;Sim, um ou dois dias por semana;Sim, dois;Sim, três;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim;Sim, um;Sim;Sim;Sim, quatro ou mais;Não;Sim, quatro ou mais;Sim
210061367599;2023;18 anos;Feminino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;329,1;509,6;506,0;511,6;EABEACCDEEEECDCAAEDBDDAEECCDBCBDEDDCEADBAEDBB;BDAACBDCACEEADCECEDDAECDEABCBCBAEAADBCABCBABB;ADEEACCDCBBCEBBCBCDCABBEDBACCADDBCAADEBBCEAAE;BCCDEDCCDEAEABDABDEBBDDEDABAEEEEDCDDABAAAEBED;Espanhol;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;140;200;140;140;120;740;Completou o Ensino Médio, mas não completou a Faculdade;Completou o Ensino Médio, mas não completou a Faculdade;Grupo 3 (Verificar a definição no dicionário de dados);Grupo 2 (Verificar a definição no dicionário de dados);2;De R$ 1.980,01 até R$ 2.640,00.;Não;Sim, dois;Sim, dois;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Sim, um;Não;Sim;Sim, dois;Não;Sim;Sim, dois;Sim;Não;Sim
210059996564;2023;20 anos;Masculino;Solteiro(a);Preta;Brasileiro(a);Já concluí o Ensino Médio;2021;Não respondeu;NA;Não;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Rosa;Amarela;Amarela;Cinza;506,0;573,8;542,7;534,7;BE.BBEECEDBEEEEEDBCEADCCCDBBEECECECDAEBEECCEE;DEAADEADCAAEDEBCDDCBAEAACCADDAACECDBDCBDDABAD;BEAEECBEACDEADEDACBCAACDACAEDCBEDBCEACCDDBDAC;DCDDADCEEEACCCABAAABEBBEBBBACDBBCBDDBDBEBBBBB;Espanhol;CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE;DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD;BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC;EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD;Sem problemas;100;120;100;80;80;480;Nunca estudou;Nunca estudou;Grupo 1 (Verificar a definição no dicionário de dados);Grupo 1 (Verificar a definição no dicionário de dados);3;Nenhuma Renda;Não;Não;Sim, um;Não;Não;Sim, um;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim, um;Não;Não;Sim
210058053015;2023;17 anos;Feminino;Solteiro(a);Parda;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;458,6;523,8;529,3;426,1;AEDACDCBBDEBBCABAEEBBCBBCEBCEEBBEBCDECCCDBDBB;CECDCDEBDCEEABDECBBCABCDEADBBCAACDDDBCBBDABDA;AAEEADBCABDCCBBBDADBACBEEBABECBBBDDCAAAEBEEAE;ABBAEEBEBECADDABBAECBEDDCDDCBEBADBEDCBCDAECDC;Espanhol;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;120;120;100;120;60;520;Não completou a 4ª série/5º ano do ensino fundamental;Não completou a 4ª série/5º ano do ensino fundamental;Grupo 3 (Verificar a definição no dicionário de dados);Não Sei;4;De R$ 1.320,01 até R$ 1.980,00.;Não;Sim, dois;Sim, quatro ou mais;Sim, um;Não;Sim, um;Não;Sim, um;Sim, um;Sim, um;Não;Não;Sim, um;Não;Não;Sim, três;Não;Não;Sim
210060753988;2023;18 anos;Masculino;Solteiro(a);Branca;Brasileiro(a);Estou cursando e concluirei o Ensino Médio em 2023;Não informado;Pública;Ensino Regular;Não;NA;NA;NA;NA;NA;NA;NA;4305108;Caxias do Sul;43;RS;Presente na prova;Presente na prova;Presente na prova;Presente na prova;Amarela;Azul;Azul;Amarela;547,2;623,6;634,8;711,2;EEDCDDBBADBBEDCCDECDCBAACDDADECDDDEBCBDAEEBBB;CEACECEBACDEAAAECBDAABCACABADCDEACAABCDDBBDDB;BBDABDACAEDCDDBADCDEDCBEBBBCAAAAAAAACAECBEAAE;DEACADCECEEBCDCBEABEDEADAAACBCCBCCBDAEEDADBEB;Inglês;CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB;CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB;BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE;DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB;Sem problemas;100;120;120;120;100;560;Completou a Pós-graduação;Completou a Faculdade, mas não completou a Pós-graduação;Grupo 5 (Verificar a definição no dicionário de dados);Grupo 5 (Verificar a definição no dicionário de dados);2;De R$ 5.280,01 até R$ 6.600,00.;Não;Sim, um;Sim, dois;Sim, um;Não;Sim, um;Sim, um;Sim, um;Sim, um;Sim, um;Não;Não;Sim, um;Não;Sim;Sim, um;Não;Sim, um;Sim
