nu_inscricao,nu_ano,tp_faixa_etaria,tp_sexo,tp_estado_civil,tp_cor_raca,tp_nacionalidade,tp_st_conclusao,tp_ano_concluiu,tp_escola,tp_ensino,in_treineiro,co_municipio_esc,no_municipio_esc,co_uf_esc,sg_uf_esc,tp_dependencia_adm_esc,tp_localizacao_esc,tp_sit_func_esc,co_municipio_prova,no_municipio_prova,co_uf_prova,sg_uf_prova,tp_presenca_cn,tp_presenca_ch,tp_presenca_lc,tp_presenca_mt,co_prova_cn,co_prova_ch,co_prova_lc,co_prova_mt,nu_nota_cn,nu_nota_ch,nu_nota_lc,nu_nota_mt,tx_respostas_cn,tx_respostas_ch,tx_respostas_lc,tx_respostas_mt,tp_lingua,tx_gabarito_cn,tx_gabarito_ch,tx_gabarito_lc,tx_gabarito_mt,tp_status_redacao,nu_nota_comp1,nu_nota_comp2,nu_nota_comp3,nu_nota_comp4,nu_nota_comp5,nu_nota_redacao,q001,q002,q003,q004,q005,q006,q007,q008,q009,q010,q011,q012,q013,q014,q015,q016,q017,q018,q019,q020,q021,q022,q023,q024,q025
210061446844,2023,22 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Já concluí o Ensino Médio,2021,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,508.8,537.2,529.3,422.1,ADCBAECCBEBEABDCEBADABCBDCBCBDEDEAD.CBCABECBA,DAABDCEACDDBBABEAECDACABACAEDAAABCABECBDDABCD,CEADACCEADCCAEDBACACBABDACABABBEDBEDDBCDADBAB,CECDCEDCBCAECDDACBCADCDADAEBAECBADECDECABCCDC,Espanhol,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,100,160,140,120,100,620,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Não completou a 4ª série/5º ano do ensino fundamental,Grupo 2 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"Até R$ 1.320,00",Não,"Sim, um",Não,Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não
210060235427,2023,17 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,461.5,462.5,541.9,386.9,CECBAABBCDBDEBBECCCEAABBBCBDDBCAADCDBABECEEBC,DAABDEEAEBECCAACBCCABBCCAEBDCBCADCDBDDADDABBE,ABAEAAAAAEBDEECBACABBAACAAABABCEDBBDAAACCDDA.,CEBBCDDEDCDDCAECDBACBCDAEEECEDCAADAABDEDEBBBB,Espanhol,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,120,120,160,160,140,700,Não sei,"Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"Até R$ 1.320,00",Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, três",Não,Não,Não
210059124174,2023,17 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,1501402,Belém,15,PA,Estadual,Urbana,Em atividade,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,460.3,405.4,318.1,483.1,CBCCBBBDEDCAAECCACABEDDEDDADCABEEEADCDDABEBAB,DEEDBCDADEBEEADAAEDBAAACDDACBDDCDADEBADCDBCDC,ECBCADBBECCCAEAACBBBDCCAEBACBBCBBBABDEBEBAAED,EEDDECDBADCECDBDAACACCAEEBDBDBBCABDAEBEBCECBB,Espanhol,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,140,180,180,160,100,760,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 1 (Verificar a definição no dicionário de dados),3,"Até R$ 1.320,00",Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,Não
210060105477,2023,17 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,1501402,Belém,15,PA,Federal,Urbana,Em atividade,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,458.2,515.1,494.6,618.3,CEEECCBEEBBDEABDAEAECDEBDEDACEAEEBBAEBECABDBC,BEBEADBBECCDAADCCADEAECDBDAACCDDEBECAEDCCAADB,ADECBDABDADBBDBACDDAACCEBCDDACBAEBCDDADAEEAAE,DDDCAEBCCCAADEAEEADCBBCDDABECCDACDAECEAEADCEB,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,120,140,120,140,640,Completou a Pós-graduação,Completou a Pós-graduação,Grupo 5 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"De R$ 7.920,01 até R$ 9240,00.",Não,"Sim, dois","Sim, dois","Sim, dois",Não,"Sim, um","Sim, um","Sim, um",Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, três",Não,"Sim, um",Sim
210061778842,2023,18 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,Não informado,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,596.9,548.1,471.4,623.7,CDDADBBEECDEBECEDDABBCDDEDCECBBDEBEEEAEDBEBCA,ABCACAAACAEEBCCAABDDDBBBDAAACCBBDACEBECCDAADE,ABCDEBACBBBEACDAAACBCECBABADDCCBBDAABACCDBCEC,EDECECDABDDECCCCADBEDDBBBDEBDBCDCCDCEABBDDBAB,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,120,200,160,160,160,800,"Completou o Ensino Médio, mas não completou a Faculdade","Completou a Faculdade, mas não completou a Pós-graduação",Grupo 5 (Verificar a definição no dicionário de dados),Não Sei,2,"De R$ 15.840,01 até R$19.800,00.",Não,"Sim, um","Sim, dois","Sim, um",Não,"Sim, um","Sim, um","Sim, um","Sim, um",Não,Não,Não,"Sim, dois",Não,Sim,"Sim, dois",Não,Não,Sim
210058792441,2023,17 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,423.2,542.3,532.9,538.5,BECBEABDBEBADDCCBDAAABBEDABACEADBDCCCBDBBEEDE,DCAADEEDCBEABDBCDBBADAEDAAADDCAACEDCACBDBABCD,BEBEACAEADDEAEEBECBABCAAAAABACBEBBBCBAADCDDAA,BABADEDECBADCDEADBBCECBDEECCCDAECDBBCDEACABDC,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,120,120,140,140,120,640,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 2 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),3,"Até R$ 1.320,00",Não,"Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,Não,Não,Não,"Sim, dois",Não,Não,Sim
210059444047,2023,22 anos,Feminino,Solteiro(a),Preta,Brasileiro(a),Já concluí o Ensino Médio,2017,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,525.2,555.2,540.5,641.8,EECEDABECEBCECCCDBECAEACCEDCEEABCBDECBDABCDBA,CDCEABACAACEAEDECADAABCECDDADBDDBDBECBAEEDBEB,BDDAACECEEBCCBDADADADCAEBBAAEDCBABBADABCCEDAD,ECACABCBDCACBECAECECDEDDCDBADCABCABDDEECADBEB,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,160,200,160,180,160,860,"Completou a 4ª série/5º ano, mas não completou a 8ª série/9º ano do ensino fundamental","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 3 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),6,"De R$ 1.320,01 até R$ 1.980,00.",Não,"Sim, um","Sim, três",Não,Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, dois",Não,Não,"Sim, três",Não,Não,Sim
210059364541,2023,Entre 51 e 55 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,Anterior a 2007,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,466.1,576.4,538.7,407.8,CAEEEDCEEACEDBCBDBABCCCDCEDDBCDBBBDDEBBDABADA,CDAEBCAEAABEAADECACDABCDEADADCDEEAADBAADCADDB,AEEDADEAAEDCCDDDACDCDCBECBABCAAEBAACCBBCBEAAB,EECBEBECACECCCDDADBABCDABACBCCADEDBEBEDAAEECB,Espanhol,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,40,40,100,40,340,Completou a Pós-graduação,Não completou a 4ª série/5º ano do ensino fundamental,Grupo 5 (Verificar a definição no dicionário de dados),Grupo 3 (Verificar a definição no dicionário de dados),5,"De R$ 2.640,01 até R$ 3.300,00.",Não,"Sim, três","Sim, três",Não,Não,"Sim, um","Sim, um","Sim, um",Não,Não,Não,Não,"Sim, três",Não,Não,"Sim, quatro ou mais",Não,"Sim, um",Sim
210059215101,2023,Entre 26 e 30 anos,Masculino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2014,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,558.7,554.5,498.9,450.1,CDDCCDDAEBDBBAACDECEDBCCEDCAEBBDCEEECCBEBEEAD,ABCDBCDACDCDCDDEEDBEDBBAEDDACBABCDCDBEBCDABBE,EBAEDCADABBDADDAABBBACDBBECAECEABDBCDAEDDEACA,EDEBEDECAEDACDBEADACBDBCBEDACBBCCADEDACEDEBEE,Espanhol,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,140,140,120,160,100,660,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Não Sei,Grupo 3 (Verificar a definição no dicionário de dados),5,"De R$ 2.640,01 até R$ 3.300,00.",Não,"Sim, um","Sim, três",Não,Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, dois",Sim,Não,"Sim, quatro ou mais",Não,"Sim, um",Sim
210061094305,2023,20 anos,Masculino,Solteiro(a),Amarela,Brasileiro(a),Já concluí o Ensino Médio,2022,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,443.4,485.3,480.5,496.4,CDECECBADEDBAEEDEAAECCCAAECEEDAACADEAEEBBABBD,ABCDBCDDCDBEDBEEDDCBEBDCCBABACBDBBDBCADCDBABA,EBCBECADEBBEAEDBDBACEABBABEBECEDBBABEAADDECCD,CDDEEBAABDDCCDBEAAC.DDCDCBAACDEDBCBAABCBCBCBE,Espanhol,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,80,40,40,40,40,240,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Não Sei,Grupo 2 (Verificar a definição no dicionário de dados),4,"Até R$ 1.320,00",Não,"Sim, dois","Sim, dois",Não,Não,"Sim, um","Sim, um","Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Não,"Sim, três",Não,"Sim, um",Sim
210059238116,2023,Entre 36 e 40 anos,Masculino,Solteiro(a),Preta,Brasileiro(a),Já concluí o Ensino Médio,Anterior a 2007,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,420.6,504.4,521.5,452.8,ABCBDDDCDCBEEBBBDACEABDAECBEBACACDBCBCAADDBAB,DAAAAEABCBDEBCDADCDAABEAAACACABCBEABEDBAECBCD,AEABACAAAEABAEBBAACADACAAAAEABBBBBCABDACEEBEE,EACDCEDEBCAACCACBBBEBEDDACEAEDCDAADDCCCBCCDDE,Espanhol,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,120,120,80,120,80,520,Não completou a 4ª série/5º ano do ensino fundamental,Não completou a 4ª série/5º ano do ensino fundamental,Grupo 1 (Verificar a definição no dicionário de dados),Grupo 1 (Verificar a definição no dicionário de dados),3,"Até R$ 1.320,00",Não,"Sim, um","Sim, dois",Não,"Sim, um","Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,Não
210058696689,2023,18 anos,Masculino,Solteiro(a),Não declarado,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,1501402,Belém,15,PA,Estadual,Urbana,Em atividade,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,410.4,498.1,473.4,363.1,EDCBBAADCEBEEDAAEBCEEBEDCCABDCCCEEDDBCDAABEAD,DBEDDEACCDACDDCCABCAEBDEAECEACBACDEBCCADBABCE,BCBEACBDADDDAEEBADEBADADACAEDBECEEBCBDCDBBAEA,BEDADCDCCDEDADCCDBEADCCAEBBBDEBCDDCBCBACCECEE,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,120,100,80,100,40,440,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 2 (Verificar a definição no dicionário de dados),Grupo 2 (Verificar a definição no dicionário de dados),4,"De R$ 1.980,01 até R$ 2.640,00.",Não,"Sim, dois","Sim, dois",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, dois",Não,Não,"Sim, dois",Não,"Sim, um",Sim
210058231236,2023,Menor de 17 anos,Masculino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio após 2023,Não informado,Não respondeu,NA,Sim,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,464.8,409.3,415.9,556.1,CBDADCBCDDABBBEBCCAABDCCCDCCDCCCEDDBAABCDDBCC,ACCDDABDDECCABCBADCCCBCACABBCEDCCADBDDEDDACBB,CBCDADACEDBBCBECBDDDBCCCCCCABAADCEEDCADDDEEBB,EDEBEECDDDBBCADDDDBEBBABBDDDDDCCCCCAECBBDCCCC,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,140,180,140,160,140,760,Completou a Pós-graduação,"Completou o Ensino Médio, mas não completou a Faculdade",Grupo 5 (Verificar a definição no dicionário de dados),Não Sei,3,"Até R$ 1.320,00",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,"Sim, um",Sim
210060872579,2023,Entre 31 e 35 anos,Masculino,Casado(a)/Mora com um(a) companheiro(a),Preta,Brasileiro(a),Já concluí o Ensino Médio,2010,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,621.2,579.6,521.1,619.5,BBCDABACDDBEAABEEDCEBACBDABCABDCCBEBCAEBBCAEE,DBAAEEABCDECAABCDEBAAAADEACDBEDAEADAECBCAABCA,BCBCDACEAEDDABBBDCAABAECBAAECBBEBDBDEEAEEDAEB,EDEAADDEEEAAAEEDAADBDCBCBDBCECCEDDDBDDBCAEBDA,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,100,80,40,80,20,320,Não sei,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio",Não Sei,Grupo 2 (Verificar a definição no dicionário de dados),5,"De R$ 2.640,01 até R$ 3.300,00.",Não,"Sim, um","Sim, dois",Não,Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, dois",Não,"Sim, dois",Sim
210059109976,2023,17 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,1501402,Belém,15,PA,Privada,Urbana,Em atividade,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,484.7,573.8,532.4,543.5,EEBBCAADDEBCEECECDCEAACBBAEBCBBCDEACDBACCBBEC,DAAADEADCDAABDBCDDEBAEECBAAECDAEEDABACADAABBD,BCBDBCDBACDCEEABECBEDAADAAAEDBCEDBDCBDADEDBAE,EDAACDDECECCABEAEEDCECBAACBBEACDADDABCEDBCCCE,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,160,200,160,200,180,900,"Completou o Ensino Médio, mas não completou a Faculdade","Completou o Ensino Médio, mas não completou a Faculdade",Não Sei,Grupo 4 (Verificar a definição no dicionário de dados),3,"De R$ 3.300,01 até R$ 3.960,00.",Não,"Sim, um","Sim, dois","Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,Não,Não,"Sim, dois",Não,Não,"Sim, três",Sim,"Sim, um",Sim
210059533467,2023,17 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Privada,Ensino Regular,Não,1501402,Belém,15,PA,Privada,Urbana,Em atividade,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,579.7,669.4,629.6,687.3,CDDAEECBCBBACCCECEEEABABCBDAECDEDBEBCDECBBCBB,CDADEAABBACEAADECBDAABCDCEDEDCDEADAABCEDEBEDB,BCDBBDADAEDCCCBADADEDCCEDCEDBACAACAAAACBBEAAE,DDDCBCCCDECCEEBEEDBDDDCDBCBADCCCCCDDBEDEADCEE,Inglês,CAAADCCCCDDDABDCACDBEEEDCEDAEECCDBEABDBABBAEB,CDAEECABAACEAADECBDAABCDCABADCDEABAABCDDEBADB,BBDABAAEBADACEEDCCDBADBDEDCCEBCACEACAACAACACBBEAAE,DCECACCBDECBEEABEABDDAADDABBBCCBCCDDAEBDADEEB,Sem problemas,120,180,120,120,160,700,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Grupo 4 (Verificar a definição no dicionário de dados),Grupo 4 (Verificar a definição no dicionário de dados),3,"De R$ 19.800,01 até R$ 26.400,00.",Não,"Sim, quatro ou mais","Sim, quatro ou mais","Sim, dois",Não,"Sim, um","Sim, quatro ou mais","Sim, um",Não,"Sim, um",Não,Não,"Sim, quatro ou mais",Não,Não,"Sim, quatro ou mais",Não,"Sim, um",Sim
210058766765,2023,19 anos,Feminino,Solteiro(a),Branca,Brasileiro(a),Já concluí o Ensino Médio,2021,Não respondeu,NA,Não,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Rosa,Rosa,Rosa,454.2,676.1,650.4,401.3,CBDDCEACDCEBCEEDCCAACDDDECABEBACDADCDCDDDBBDC,ABCDCBDACDAEDCEAAABDDAEABADEBAABCACCBADCDAADE,EDBBAAAECBBEAADAAACCAEBACCCCEDEDADEBBDEDDACCE,DDDDBCDADDCBCEBCCDCBDCBDCBCDEBDCEDCBCDBEDDCEB,Inglês,CEDAEEDEECCEBADCCCABBABCAACDDDACDBEABDCDBEABD,ABCDCBDACDAEACEECABADBEABADEBAABCDCABADCDAADE,BDBBABAAAEAAECBBEAACAAACEACBCACCCEDEDADBDBEEDDACCC,EBDEEBDADDABCCBCCABBADDBDDAEAEABCBEDECADCECCB,Sem problemas,160,200,200,200,180,940,Completou a Pós-graduação,"Completou a Faculdade, mas não completou a Pós-graduação",Grupo 4 (Verificar a definição no dicionário de dados),Não Sei,5,"De R$ 6.600,01 até R$ 7.920,00.",Não,"Sim, um","Sim, três",Não,Não,"Sim, um",Não,"Sim, um",Não,"Sim, um",Não,Não,"Sim, um",Não,Sim,"Sim, quatro ou mais",Não,"Sim, um",Sim
210061238708,2023,17 anos,Feminino,Solteiro(a),Parda,Brasileiro(a),Estou cursando e concluirei o Ensino Médio em 2023,Não informado,Pública,Ensino Regular,Não,NA,NA,NA,NA,NA,NA,NA,1501402,Belém,15,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Amarela,Amarela,Cinza,431.1,490.9,469,400.6,BEBAACBEEDBACECEDEBCAAABBCABBEECAEDDCBCCBCEAD,CBEADEADCDEDBADADBBBCECCBBCDDEBBDDCCCAACDABCD,DEBECDDEEEDDACADACDCBA.AACCEADEEEABCADAAEABAA,BBDCAEDEEDDCACDADBDCEADDBBAEDACABCBCBDEDEBDBC,Inglês,CDDDABBABDBEABDECCEEEDCEDAEBABDCCAACCCADACDBE,DBAADEADCDCABABCDDEBAEABAECABAACECDAECBDAABCD,BBBDAABAEACCEEEDEACBCACAACAACAAAECBBEDBCCADBDEDDAC,EBDADDAEBEACBEDCECCBEABCADEBCCBCCDEBDDAABBADD,Sem problemas,80,120,120,80,0,400,"Completou a 8ª série/9º ano do ensino fundamental, mas não completou o Ensino Médio","Completou o Ensino Médio, mas não completou a Faculdade",Não Sei,Não Sei,3,"Até R$ 1.320,00","Sim, pelo menos cinco dias por semana","Sim, um","Sim, um",Não,Não,"Sim, um",Não,Não,Não,Não,Não,Não,"Sim, um",Não,Não,"Sim, um",Não,Não,Não
